,count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,99%,max
SK_ID_CURR,356255.0,278128.0,102842.10441254107,100001.0,103563.54,117813.7,135626.4,189064.5,278128.0,367191.5,420629.60000000003,452692.46,456255.0
TARGET,307511.0,0.08072881945686496,0.27241864564839396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
is_train,356255.0,0.8631766571697239,0.3436612390126322,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
obs_reference_month,338230.0,-13.71158383348609,16.538486161468867,-96.0,-82.0,-56.0,-34.0,-13.0,-6.0,-6.0,-6.0,-6.0,-6.0
dpd_at_obs,338230.0,8.005502173077492,128.43770588249964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4080.0
OBS_STAGE,338230.0,0.014830145167489579,0.20901012173576394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
past_obs_months,274107.0,9.009634923588234,3.5046213613348134,1.0,1.0,2.0,3.0,6.0,11.0,12.0,12.0,12.0,12.0
past_dpd_max,274107.0,11.87917127253226,152.10491841070004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4080.0
past_dpd_mean,274107.0,9.005852095355333,127.81926536904015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,3912.0833
past_dpd_std,266228.0,1.9929494043318885,33.488661243533244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.082904,1596.9799
past_dpd30_count,274107.0,0.07300433772213041,0.8890746483287225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
past_dpd60_count,274107.0,0.07136264305544915,0.8844152737790868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
past_dpd90_count,274107.0,0.07051990645988611,0.8805743327897025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
past_dpd30_ratio,274107.0,0.006134434809641935,0.07433350480613334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
past_dpd60_ratio,274107.0,0.005975897432244771,0.07387585778480234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
past_dpd90_ratio,274107.0,0.0059012803433777725,0.07353637590288781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
future_obs_months,224867.0,4.113293635793602,1.0783146139478008,1.0,1.0,2.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0
future_dpd_max,224867.0,13.068894057376138,166.30974271431901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4231.0
FUTURE_DPD30_FLAG,356255.0,0.005569044644987439,0.0744180484284793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FUTURE_DPD60_FLAG,356255.0,0.005122735119507095,0.07138982427619688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FUTURE_DEFAULT_90_FLAG,356255.0,0.0049037908239884355,0.06985526005187634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FUTURE_STAGE_MAX,224867.0,0.024707938470295773,0.26721852117079203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
AMT_INCOME_TOTAL,356255.0,170116.05986028266,223506.81900886964,25650.0,45000.0,67500.0,81000.0,112500.0,153000.0,202500.0,270000.0,486000.0,117000000.0
AMT_CREDIT,356255.0,587767.4137527895,398623.6937149801,45000.0,76410.0,135000.0,180000.0,270000.0,500211.0,797557.5,1125000.0,1858728.6000000453,4050000.0
AMT_ANNUITY,356219.0,27425.56065650625,14732.80818968302,1615.5,6142.5,9000.0,11250.0,16731.0,25078.5,34960.5,46701.0,71370.0,258025.5
AMT_GOODS_PRICE,355977.0,528019.9978004197,366064.9856554615,40500.0,67500.0,135000.0,171000.0,234000.0,450000.0,675000.0,1035000.0,1800000.0,4050000.0
DAYS_BIRTH,356255.0,-16041.248841419769,4358.803979900077,-25229.0,-24404.0,-23204.0,-22186.0,-19676.0,-15755.0,-12425.0,-10294.0,-8274.0,-7338.0
DAYS_EMPLOYED,291607.0,-2396.6989372683097,2334.4799669461113,-17912.0,-11288.0,-7295.0,-5344.0,-3200.0,-1663.0,-780.0,-340.0,-112.0,0.0
DAYS_REGISTRATION,356255.0,-4983.593527225348,3526.9689861511833,-24672.0,-13896.92,-11420.0,-9938.0,-7477.0,-4502.0,-1995.0,-691.0,-52.0,0.0
DAYS_ID_PUBLISH,356255.0,-3002.07116251,1517.901735250205,-7197.0,-5476.0,-4972.0,-4748.0,-4318.0,-3252.0,-1717.0,-732.0,-62.0,0.0
CNT_CHILDREN,356255.0,0.4143155885531431,0.720378291886506,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,20.0
CNT_FAM_MEMBERS,356253.0,2.151858370315478,0.9079374172191593,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,5.0,21.0
REGION_POPULATION_RELATIVE,356255.0,0.020917030374310527,0.013914985857347479,0.0002529999999999,0.002134,0.00496,0.006629,0.010006,0.01885,0.028663,0.035792,0.072508,0.072508
REGION_RATING_CLIENT,356255.0,2.0505059578111187,0.5109473884604077,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0
REGION_RATING_CLIENT_W_CITY,356255.0,2.0289315237680876,0.5045860818353403,-1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0
EXT_SOURCE_1,162345.0,0.5019647173606226,0.21004515768878582,0.0134579104986917,0.08303201385124029,0.15794103707630083,0.2128487390521942,0.3355033528327172,0.5061548086628039,0.6733439557065721,0.7845192227953597,0.8881477045695406,0.962692770561306
EXT_SOURCE_2,355587.0,0.5148899751498333,0.1897531295580153,8.173616518884397e-08,0.0305505776776111,0.13641570653555873,0.22056942197751742,0.3949550973039379,0.5648491432489063,0.6629284530316562,0.7218641201649655,0.7830832123873112,0.8549996664047012
EXT_SOURCE_3,286622.0,0.5093502021860118,0.19414113704777441,0.0005272652387098,0.0668879339672135,0.1556893746835917,0.2276129150623945,0.3689687382528466,0.5334816299804352,0.6658549219640212,0.7490217048463391,0.8327850252992314,0.8960095494948396
age_years,356255.0,43.91854576706302,11.933754907323964,20.09034907597536,22.652977412731005,25.78507871321013,28.18343600273785,34.01779603011636,43.134839151266256,53.869952087611225,60.7419575633128,66.8145106091718,69.07323750855578
employment_years,291607.0,6.561804071918712,6.391457815047533,-0.0,0.3066392881587953,0.5694729637234771,0.9308692676249144,2.135523613963039,4.553045859000685,8.761122518822724,14.63107460643395,30.90485968514716,49.0403832991102
credit_income_ratio,356255.0,3.8494762654964063,2.6350353960738193,0.0048076153846153,0.5666666666666667,0.9929142857142856,1.2780645161290325,2.0,3.158857142857143,5.0,7.2542307692307695,12.724444444444444,84.73684210526316
annuity_income_ratio,356219.0,0.1812109096889714,0.094700571561169,0.0002238846153846,0.0395414789915966,0.0628,0.08,0.11495,0.1631818181818181,0.22915590277777775,0.3018666666666666,0.48452424324324384,2.024714285714286
annuity_credit_ratio,356219.0,0.05546329536453517,0.023205779007186903,0.0220725806451612,0.02646875,0.0292376152926271,0.029385,0.0380801335559265,0.05,0.0670657199471598,0.0979151943462897,0.11889738992144679,0.1244295759780437
goods_credit_ratio,355977.0,0.8997160587886947,0.09614016486247072,0.1666666666666666,0.6778741865509761,0.7163323782234957,0.7829627309740056,0.8347245409015025,0.8938148015731141,1.0,1.0,1.0,6.666666666666667
ext_score_mean,356076.0,0.5089389704562132,0.14847763359759766,5.9396509293128426e-06,0.1136451658963302,0.23836284044207467,0.30577414237020617,0.4141132926490425,0.5238256878806983,0.6211966945382668,0.6908654283063391,0.7718277070602834,0.878903368632926
ext_score_min,356076.0,0.3981973045830252,0.18605637651000112,8.173616518884397e-08,0.021277348907311623,0.0905088286581148,0.1446481462546413,0.2535932983278013,0.4014074137749511,0.5495965024956946,0.6458587456279075,0.7485592437576538,0.878903368632926
sector_avg_change,356255.0,-0.020103093485621254,0.13450677557436497,-0.3377422752222065,-0.3377422752222065,-0.3377422752222065,-0.3377422752222065,0.0324944655230226,0.0487650786135317,0.0487650786135317,0.0487650786135317,0.0487650786135317,0.1748862126370923
sector_volatility,356255.0,2.0488739019727467,1.6956043698713479,0.8516788251483423,0.8516788251483423,0.8516788251483423,0.9418926141919692,1.3046429848096348,1.3046429848096348,1.3046429848096348,4.315026455665534,7.249451088430356,7.249451088430356
sector_downside_20p,356255.0,-1.0836193758471209,0.6771142769505866,-3.174852543531607,-3.174852543531607,-3.174852543531607,-1.785704010578389,-0.8089934410313393,-0.8089934410313393,-0.8089934410313393,-0.6277716461978511,-0.5362371609387553,-0.5362371609387553
sector_upside_80p,356255.0,1.0098416597813853,0.37036650500851553,0.6343364685475354,0.6343364685475354,0.6343364685475354,0.7374708965764483,0.8716295704109809,0.8716295704109809,0.8716295704109809,1.352814625444176,2.133310953423595,2.133310953423595
sector_neg_day_ratio,356255.0,0.4811099801532918,0.0233652662502275,0.4492081884897644,0.4492081884897644,0.4570747217806041,0.4713831478537361,0.4713831478537361,0.4713831478537361,0.4717806041335453,0.5119236883942766,0.5472972972972973,0.5472972972972973
buro_loan_count,305811.0,5.612708502964249,4.430354039722134,1.0,1.0,1.0,1.0,2.0,4.0,8.0,11.0,21.0,116.0
buro_active_loan_count,305811.0,2.0620808277007696,1.791724210529592,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,8.0,32.0
buro_days_credit_mean,305811.0,-1083.8021025433163,558.4411243941208,-2922.0,-2646.5,-2083.9285714285716,-1799.0,-1431.0,-1052.5,-670.3693181818182,-375.57142857142856,-85.0,0.0
buro_days_enddate_mean,303226.0,662.4208139673212,3282.35917785762,-41875.0,-2234.0,-1525.5,-1191.75,-697.525,-131.7888888888889,613.0,3084.75,15246.375,31198.0
buro_day_overdue_max,305811.0,4.436629159840555,85.57359127331624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2792.0
buro_day_overdue_mean,305811.0,0.9659263826019748,24.957209454904532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,2776.0
